緯度情報,経度情報,愛工大からの距離,データ名
35.1878783082561,137.111370563507,0.004768593988601941,あいち海上（かいしょ）の森センター
35.1879089973768,137.111397385597,0.0047880699942387415,あいち海上の森センター
35.1864797488845,137.108227014542,0.005709026023118086,【尾張】２００５年記念と長久手
35.1737337743268,137.089086771011,0.02583641090382677,【尾張】愛地球博記念公園
35.1737118497041,137.089033126831,0.025894362030071703,愛・地球博記念公園（モリコロパーク）
35.2147093256305,137.101591229439,0.033326084813972125,瀬戸市南公園・萩殿の森
35.2171460773879,137.098731994629,0.03664352433035934,【尾張】瀬戸市南公園・萩殿の森
35.2246136523161,137.107304334641,0.04159903038780026,瀬戸染付工芸館
35.2069210635351,137.077582446767,0.04254455885652614,瀬戸グリーンセンター とれたて館
35.2246950851413,137.102236524104,0.0426735603605308,新世紀工芸館
35.2264365447838,137.10547594816,0.043684526680746016,瀬戸永泉教会礼拝堂
35.2253892941213,137.100749015808,0.04374004381144293,【尾張】瀬戸蔵
35.2254506440042,137.10074365139,0.04380043028519311,瀬戸蔵
35.2281269041629,137.10125733999,0.046241546503170756,旧山繁商店
35.1930713482756,137.158869962345,0.04683492760435885,猿投山の球状花崗岩
35.2302708469463,137.104166150093,0.047691841336330656,ノベルティ・こども創造館
35.149160826289,137.149369481289,0.04992844643485909,うめこう桃梨苺園
35.2223124594502,137.144992845054,0.05033977627220198,雲興寺鐘楼
35.1851565490319,137.061761770772,0.05130978860984909,あぐりん村
35.1851565490319,137.061761770772,0.05130978860984909,あぐりん村
35.1844792594146,137.060379147089,0.05267356224862521,長久手温泉ござらっせ
35.2404677022384,137.115782820766,0.057121300600749964,道の駅瀬戸しなの
35.1308115864515,137.089076042175,0.05780300067441889,愛知牧場
35.1308247481635,137.088915109634,0.05785794763057047,愛知牧場
35.1860609097894,137.054941827428,0.058160416920979265,長久手古戦場附色金山
35.1837331274983,137.052738031179,0.06030472277726146,長久手古戦場附首塚
35.217626845123,137.16278910996,0.060377370261503506,瀬戸窯跡
35.2011664913185,137.170993717769,0.060610461497594866,猿投山と菊石
35.2011664913185,137.170993717769,0.060610461497594866,猿投山・菊石
35.160105481701,137.173439377813,0.06473838462642299,池田第一号墳
35.2400888168362,137.144867253063,0.06500070763908568,岩屋堂公園
35.2401776557418,137.144812345505,0.06505135027929299,【尾張】岩谷堂公園
35.18288120438,137.047984925445,0.06505914151446458,長久手グリーンセンター
35.1732733560094,137.048488855362,0.06534440855577137,【尾張】長久手市郷土資料室
35.1735061857355,137.048009529702,0.06578250759272108,長久手古戦場
35.1752105959479,137.17836488491,0.06583584636485841,旧龍性院庭園
35.1474041975607,137.169487276526,0.06695264573436008,舞木廃寺塔跡
35.1189016876988,137.087859743429,0.06925133361120422,黒笹七号窯
35.1785403024202,137.043039566123,0.07017166190318526,長久手古戦場附御旗山
35.1169160193602,137.080492973328,0.07403495571134582,【尾張】愛知池
35.1168896914386,137.080192565918,0.07419112409805641,愛知池
35.2409224796763,137.052705287933,0.0833542981745423,森林公園
35.2409487674549,137.052565813065,0.08347343101528606,森林公園
35.2152114202732,137.034866636054,0.08439527417463327,尾張旭グリーンセンター及び産直センター
35.2052596468565,137.195940613747,0.08572926965193653,しだれ桜（金剛寺）
35.2053429280498,137.195940613747,0.08575053104034612,【豊田加茂】金剛寺しだれ桜
35.1685111621841,137.198338508606,0.08658840781349458,愛知県緑化センター・昭和の森
35.2253181742443,137.036355323914,0.08738959680168301,維摩（いま）池
35.1310835947341,137.039557099342,0.09021252051030075,農産振興クラブ 及び日進野菜研究会
35.2210640104766,137.027631998062,0.09334082805090443,【尾張】城山公園及び長池・維摩池
35.2204329467841,137.027315497398,0.09337854033734835,城山公園
35.2212305403549,137.027133107185,0.0938645169919556,長池
35.0928135577047,137.087939689485,0.09401188732543757,三好公園
35.0928135577047,137.087939689485,0.09401188732543757,三好公園
35.2516515665434,137.048360109329,0.09402310987546636,東谷山フルーツパーク
35.2516471858258,137.048327922821,0.09404207639655235,東谷山フルーツパーク
35.1001420611057,137.157524128479,0.09440648643992854,安長寺山門
35.2005649262436,137.20761954235,0.09612047882770738,豊田市藤岡民俗資料館（旧藤岡中学校特別教室棟）
35.1289325881751,137.033451616788,0.0964502010695704,旧市川家住宅主屋
35.1988787098886,137.208442403612,0.09664610192632815,旧山内家住宅
35.1223055949102,137.189597661708,0.0979530593513625,旧井上家住宅西洋館
35.1203857483783,137.188214713392,0.09809834594573595,枝下（しだれ）用水
35.2804612498617,137.092353599151,0.09922965217654474,源敬公（徳川義直）廟
35.2552091808287,137.044373896638,0.09934838268357148,志段見古墳群
35.2803252657565,137.09111151022,0.09936339522292646,定光寺本堂
